species,stage,growthRate,growthUnit,growthMass,growthMassUnit,growthMassDryWet,growthTempKelvin,growthDataPosition,growthDataOBS,metabolicRate,metabolicUnit,metabolicMass,metabolicMassUnit,metabolicMassDryWet,metabolicTempKelvin,metabolicDataPosition,metabolicDataOBS,reference,,,
Gadus morhua,larvae,0.08544062,ug_d,51.07402,ug,dry,280.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(51.07402,50.45451,10.1327,2.8376); see instantaneousGrowth.R",0.9442783,ulO2_h,51.07402,ug,dry,280.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,0.66426483,ug_d,55.41151,ug,dry,280.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(55.41151,51.07402,16.9322,10.1327); see instantaneousGrowth.R",0.2566256,ulO2_h,55.41151,ug,dry,280.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,5.27734081,ug_d,85.78276,ug,dry,280.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(85.78276,55.41151,24.0361,16.9322); see instantaneousGrowth.R",0.4392381,ulO2_h,85.78276,ug,dry,280.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,14.13820248,ug_d,159.3309,ug,dry,280.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(159.3309,85.78276,31.0138,24.0361); see instantaneousGrowth.R",1.0382454,ulO2_h,159.3309,ug,dry,280.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,19.01052951,ug_d,264.36259,ug,dry,280.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(264.36259,159.3309,38.055,31.0138); see instantaneousGrowth.R",0.5819692,ulO2_h,264.36259,ug,dry,280.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,52.5236668,ug_d,564.41689,ug,dry,280.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(564.41689,264.36259,46.2055,38.055); see instantaneousGrowth.R",4.1276228,ulO2_h,564.41689,ug,dry,280.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,171.4340365,ug_d,1267.94379,ug,dry,280.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(1267.94379,564.41689,52.1916,46.2055); see instantaneousGrowth.R",6.7779756,ulO2_h,1267.94379,ug,dry,280.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,-1.5228961,ug_d,43.66164,ug,dry,283.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(43.66164,55.47534,8.7746,1.909); see instantaneousGrowth.R",0.5720052,ulO2_h,43.66164,ug,dry,283.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,3.50042262,ug_d,67.05019,ug,dry,283.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(67.05019,43.66164,16.9915,8.7746); see instantaneousGrowth.R",0.3551403,ulO2_h,67.05019,ug,dry,283.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,6.38466974,ug_d,99.33447,ug,dry,283.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(99.33447,67.05019,23.1067,16.9915); see instantaneousGrowth.R",2.9532486,ulO2_h,99.33447,ug,dry,283.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,43.33440111,ug_d,287.14417,ug,dry,283.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(287.14417,99.33447,30.1404,23.1067); see instantaneousGrowth.R",3.1688377,ulO2_h,287.14417,ug,dry,283.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,47.99091324,ug_d,538.02196,ug,dry,283.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(538.02196,287.14417,37.1799,30.1404); see instantaneousGrowth.R",3.3281278,ulO2_h,538.02196,ug,dry,283.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Gadus morhua,larvae,393.3469378,ug_d,2070.14135,ug,dry,283.15,fig 1; p 3,"growth calculated as: instantaneousGrowth(2070.14135,538.02196,44.2715,37.1799); see instantaneousGrowth.R",13.6772883,ulO2_h,2070.14135,ug,dry,283.15,fig 3; p 4,data thief - only collected those with corresponding mass in fig1,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,-1.933683,ug_d,54.013211,ug,dry,277.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(54.013211,69.358549,7.9517,0.9668); see instantaneousGrowth.R",0.5302736,ulO2_h,54.013211,ug,dry,277.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,4.620684,ug_d,80.537844,ug,dry,277.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(80.537844,54.013211,14.9149,7.9517); see instantaneousGrowth.R",1.3605046,ulO2_h,80.537844,ug,dry,277.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,8.488233,ug_d,128.735997,ug,dry,277.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(128.735997,80.537844,22.0285,14.9149); see instantaneousGrowth.R",3.6207622,ulO2_h,128.735997,ug,dry,277.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,4.114035,ug_d,154.561029,ug,dry,277.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(154.561029,128.735997,28.8971,22.0285); see instantaneousGrowth.R",2.5107299,ulO2_h,154.561029,ug,dry,277.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,, 
Melanogrammus aeglefinus,larvae,7.719624,ug_d,202.395103,ug,dry,277.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(202.395103,154.561029,35.9664,28.8971); see instantaneousGrowth.R",4.1524078,ulO2_h,202.395103,ug,dry,277.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,4.665765,ug_d,75.822832,ug,dry,280.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(75.822832,49.556429,8.9588,2.0475); see instantaneousGrowth.R",1.5674728,ulO2_h,75.822832,ug,dry,280.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,3.50468,ug_d,97.566337,ug,dry,280.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(97.566337,75.822832,15.9779,8.9588); see instantaneousGrowth.R",1.2723307,ulO2_h,97.566337,ug,dry,280.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,3.252533,ug_d,118.195244,ug,dry,280.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(118.195244,97.566337,22.948,15.9779); see instantaneousGrowth.R",1.4494392,ulO2_h,118.195244,ug,dry,280.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,5.584874,ug_d,152.089769,ug,dry,280.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(152.089769,118.195244,29.8142,22.948); see instantaneousGrowth.R",3.2329575,ulO2_h,152.089769,ug,dry,280.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,83.553191,ug_d,498.769628,ug,dry,280.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(498.769628,152.089769,36.904,29.8142); see instantaneousGrowth.R",3.0345898,ulO2_h,498.769628,ug,dry,280.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,8.046919,ug_d,87.096359,ug,dry,282.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(87.096359,46.238102,8.9543,2.1007); see instantaneousGrowth.R",1.2735031,ulO2_h,87.096359,ug,dry,282.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,18.013573,ug_d,177.378101,ug,dry,282.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(177.378101,87.096359,15.9581,8.9543); see instantaneousGrowth.R",4.1552772,ulO2_h,177.378101,ug,dry,282.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,88.209168,ug_d,547.267931,ug,dry,282.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(547.267931,177.378101,22.9481,15.9581); see instantaneousGrowth.R",7.1055876,ulO2_h,547.267931,ug,dry,282.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Melanogrammus aeglefinus,larvae,340.700469,ug_d,1906.777418,ug,dry,282.15,fig 2; p 3,"growth rate calculated as: instantaneousGrowth(1906.777418,547.267931,29.934,22.9481); see instantaneousGrowth.R",11.7869109,ulO2_h,1906.777418,ug,dry,282.15,fig 4; p 4,data thief - only collected those with corresponding mass in fig2,laurence_gc_1978_m50_1,,,
Solea senegalensis,larvae,8.783473,ug_d,31.6275,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(31.6275,14.0426,2.9733,0.0497); see instantaneousGrowth.R",4.357,nmolO2_h,31.6275,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Solea senegalensis,larvae,12.581618,ug_d,51.1924,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(51.1924,31.6275,4.9327,2.9733); see instantaneousGrowth.R",18.9651,nmolO2_h,51.1924,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Solea senegalensis,larvae,26.755673,ug_d,91.0548,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(91.0548,51.1924,6.8925,4.9327); see instantaneousGrowth.R",43.0038,nmolO2_h,91.0548,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Solea senegalensis,larvae,17.629795,ug_d,135.4356,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(135.4356,91.0548,9.9426,6.8925); see instantaneousGrowth.R",22.1936,nmolO2_h,135.4356,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Solea senegalensis,larvae,68.540227,ug_d,240.9009,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(240.9009,135.4356,11.9667,9.9426); see instantaneousGrowth.R",37.5739,nmolO2_h,240.9009,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Solea senegalensis,larvae,195.587149,ug_d,619.1598,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(619.1598,240.9009,14.955,11.9667); see instantaneousGrowth.R",64.9035,nmolO2_h,619.1598,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Solea senegalensis,larvae,195.834796,ug_d,947.0735,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(947.0735,619.1598,17.0104,14.955); see instantaneousGrowth.R",72.2766,nmolO2_h,947.0735,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Solea senegalensis,larvae,44.353785,ug_d,1071.6018,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(1071.6018,947.0735,19.995,17.0104); see instantaneousGrowth.R",52.9409,nmolO2_h,1071.6018,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Solea senegalensis,larvae,58.326924,ug_d,1235.6024,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(1235.6024,1071.6018,23.0117,19.995); see instantaneousGrowth.R",116.513,nmolO2_h,1235.6024,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Solea senegalensis,larvae,679.941035,ug_d,2679.9798,ug,dry,292.65,fig 1a; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(2679.9798,1235.6024,26.0634,23.0117); see instantaneousGrowth.R",692.839,nmolO2_h,2679.9798,ug,dry,292.65,fig 5a; p 2179,only took data for approximate weights collected from fig1a,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,3.584109,ug_d,24.9416,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement ; growth calculated as: instantaneousGrowth(24.9416,16.7727,4.9775,2.2163)",9.0426,nmolO2_h,24.9416,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,5.700391,ug_d,38.8411,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(38.8411,24.9416,7.9956,4.9775)",7.7334,nmolO2_h,38.8411,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,2.36703,ug_d,43.3724,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(43.3724,38.8411,10.0175,7.9956)",14.291,nmolO2_h,43.3724,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,7.934567,ug_d,63.3093,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(63.3093,43.3724,13.0352,10.0175)",22.1497,nmolO2_h,63.3093,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,15.841002,ug_d,89.9108,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(89.9108,63.3093,15.0262,13.0352)",36.4017,nmolO2_h,89.9108,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,-1.562582,ug_d,86.5901,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(86.5901,89.9108,17.1116,15.0262)",25.3784,nmolO2_h,86.5901,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,22.769934,ug_d,122.9773,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(122.9773,86.5901,19.0063,17.1116)",36.0308,nmolO2_h,122.9773,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,18.461391,ug_d,171.3921,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(171.3921,122.9773,22.0881,19.0063)",64.6425,nmolO2_h,171.3921,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,43.727175,ug_d,274.4193,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(274.4193,171.3921,25.0421,22.0881)",67.179,nmolO2_h,274.4193,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
Sparus aurata,larvae,40.964562,ug_d,378.946,ug,dry,292.65,fig 1b; p 2177,"only took data from 2.5 to 2.5 days in data thief; included an initial weight based on the model fit presented, so I could calclute growth rate for the first weight measurement; growth calculated as: instantaneousGrowth(378.946,274.4193,28.0276,25.0421)",171.194,nmolO2_h,378.946,ug,dry,292.65,fig 5b; p 2179,only took data for approximate weights collected from fig1b,parra_g_2001_t204_2175,,,
