"length_inf_cm","length_type","k_1_over_y","t_not_years","sex","m_1_over_y","temperature","l_m","theta","country","locality","questionable","captive","species","family","data_type"
93.1,"TL",0.081,NA,"",NA,3.7,NA,2.85,"Russia","Volga, near Kuybyshev","No","No","Abramis brama","Cyprinidae","&nbsp"
94.5,"TL",0.053,NA,"",NA,NA,NA,2.68,"Germany","North German Lakes","No","No","Abramis brama","Cyprinidae","&nbsp"
105,"TL",0.064,NA,"",NA,NA,NA,2.85,"Finland","Lake Onkamo","No","No","Abramis brama","Cyprinidae","&nbsp"
109,"TL",0.096,NA,"",NA,6.5,NA,3.06,"","Njemen River","No","No","Abramis brama","Cyprinidae","&nbsp"
111,"TL",0.077,NA,"",NA,5.4,NA,2.98,"","Volgograd Reservoir","No","No","Abramis brama","Cyprinidae","&nbsp"
125,"TL",0.045,NA,"",NA,7.6,NA,2.85,"Poland","Vistula, near Warsaw","Yes","No","Abramis brama","Cyprinidae","&nbsp"
18.9,"TL",0.85,NA,NA,NA,27,NA,2.48,"India","Lakshadweep lagoons","No","No","Abudefduf vaigiensis","Pomacentridae","length-frequencies"
13,"TL",0.3,NA,"FALSE",NA,NA,NA,1.71,"Russia","Lake Baikal","No","No","Abyssocottus korotneffi","Abyssocottidae","annuli on many otoliths"
16.6,"FL",1.29,-1.04,"M",NA,NA,11.4,2.55,"Turkey","Karakaya Dam Lake","No","No","Acanthobrama marmid","Cyprinidae","scale annual rings"
17.3,"FL",1.37,-1.04,"F",NA,NA,11.4,2.61,"Turkey","Karakaya Dam Lake","No","No","Acanthobrama marmid","Cyprinidae","scale annual rings"
29.9,"FL",0.105,-1.92,NA,NA,NA,NA,1.97,"Turkey","Aras river","No","No","Acanthobrama microlepis","Cyprinidae","&nbsp"
17.4,"TL",0.338,-0.8,"M",NA,NA,NA,2.01,"Iran","Lake Orumiyeh basin, West Azarbayjan province","No","No","Acanthobrama urmianus","Cyprinidae","scale annual rings"
19.2,"TL",0.284,-0.8,"F",NA,NA,NA,2.02,"Iran","Lake Orumiyeh basin, West Azarbayjan province","No","No","Acanthobrama urmianus","Cyprinidae","scale annual rings"
11,"SL",0.414,-0.27,NA,NA,12,NA,1.7,"Madagascar","Mozambique/Madagascar Ridge","No","No","Acanthochaenus luetkenii","Stephanoberycidae","annuli on many otoliths"
18.5,"TL",0.41,NA,NA,NA,12,NA,2.15,"New Zealand","Auckland harbour","No","No","Acanthoclinus littoreus","Plesiopidae","annuli on many otoliths"
6,"SL",0.79,NA,NA,NA,NA,NA,1.46,"India","Mula-Mutha River, Pune (18.521°N & 73.857°E, alt. 557m), Maharashtra","No","No","Acanthocobitis mooreh","Nemacheilidae","length-frequencies"
149,"FL",0.34,-1.54,NA,NA,NA,NA,3.88,"","Southern Caribbean","No","No","Acanthocybium solandri","Scombridae","&nbsp"
157,"FL",0.245,NA,NA,NA,NA,NA,3.78,"","","No","No","Acanthocybium solandri","Scombridae","length-frequencies"
158,"FL",0.34,NA,NA,NA,27,NA,3.93,"St Lucia","","No","No","Acanthocybium solandri","Scombridae","length-frequencies"
159,"FL",0.34,NA,NA,NA,NA,NA,3.93,"St Lucia","Western Central Atlantic","No","No","Acanthocybium solandri","Scombridae","length-frequencies"
170,"FL",0.381,-1.63,NA,NA,NA,NA,4.04,"","Florida east coast and northern Bahamas","No","No","Acanthocybium solandri","Scombridae","annuli on many otoliths"
215,"FL",0.152,-3.67,NA,NA,NA,NA,3.85,"USA","North Carolina","Yes","No","Acanthocybium solandri","Scombridae","&nbsp"
43.2,"TL",0.314,NA,NA,NA,15.2,NA,2.77,"Korea (South)","Dongdae Bay","No","No","Acanthogobius flavimanus","Gobiidae","length-frequencies"
43,"TL",0.2,NA,NA,0.31,22.8,23.7,2.57,"Kuwait",NA,"No","No","Acanthopagrus arabicus","Sparidae","length-frequencies"
44.5,"TL",0.225,NA,NA,0.31,22.8,NA,2.65,"Kuwait",NA,"No","No","Acanthopagrus arabicus","Sparidae","annuli on many otoliths"
29.5,"FL",0.51,-0.32,NA,NA,12,NA,2.65,"Australia","Moreton Bay","No","No","Acanthopagrus australis","Sparidae","tagging/recapture"
36.4,"TL",0.377,-0.22,NA,NA,26,NA,2.7,"Kuwait",NA,"No","No","Acanthopagrus berda","Sparidae","annuli on many otoliths"
38,"",0.217,-1.56,NA,NA,NA,NA,2.5,"",NA,"No","No","Acanthopagrus berda","Sparidae","&nbsp"
38.3,"TL",0.273,-0.47,NA,0.31,26,NA,2.6,"Kuwait",NA,"No","No","Acanthopagrus berda","Sparidae","annuli on many otoliths"
29.8,"FL",0.25,-0.04,"",NA,29,NA,2.35,"Yemen","Gulf of Aden","No","No","Acanthopagrus bifasciatus","Sparidae","other annual rings"
32.7,"FL",0.297,-1.49,"M",NA,NA,21.9,2.5,"United Arab Em.","Abu Dhabi","No","No","Acanthopagrus bifasciatus","Sparidae","annuli on many otoliths"
33.6,"FL",0.254,-1.5,"F",NA,NA,26.4,2.46,"United Arab Em.","off Abu Dhabi","No","No","Acanthopagrus bifasciatus","Sparidae","annuli on many otoliths"
34.9,"TL",0.189,-2.24,"",0.23,26,NA,2.36,"Kuwait","","No","No","Acanthopagrus bifasciatus","Sparidae","annuli on many otoliths"
48.1,"TL",0.181,-0.93,"",NA,27.6,NA,2.62,"Yemen","Gulf of Aden, 50 m","No","No","Acanthopagrus bifasciatus","Sparidae","&nbsp"
32.3,"TL",0.21,-0.31,"M",NA,15,NA,2.34,"Australia","Nornalup Walpole Estuary (southern west coast)","No","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
34.5,"TL",0.27,-0.18,"M",NA,15,NA,2.51,"Australia","Wellstead Estuary (southern west coast)","No","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
36.7,"TL",0.16,-0.6,"F",NA,15,NA,2.33,"Australia","Nornalup Walpole Estuary (southern west coast)","No","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
37.8,"TL",0.25,-0.17,"F",NA,15,NA,2.55,"Australia","Wellstead Estuary (southern west coast)","No","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
38,"FL",0.077,-3.7,"M",NA,15.3,NA,2.05,"Australia","Gippsland lakes, Victoria","Yes","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
40.2,"FL",0.07,-4.14,"",NA,15.3,NA,2.05,"Australia","Gippsland lakes, Victoria","Yes","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
41.9,"TL",0.31,-0.15,"M",NA,15,NA,2.74,"Australia","Swan River Estuary (southern west coast)","No","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
42.9,"TL",0.11,-0.61,"M",NA,15,NA,2.31,"Australia","Moore River Estuary (southern west coast)","No","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
43.7,"TL",0.3,-0.13,"F",NA,15,NA,2.76,"Australia","Swan River Estuary (southern west coast)","No","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
43.8,"",0.3,NA,"",NA,NA,NA,2.76,"","","No","No","Acanthopagrus butcheri","Sparidae","&nbsp"
44.2,"TL",0.32,-0.46,"M",NA,15,NA,2.8,"Australia","Lake Clifton, Western Australia","No","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
45.2,"TL",0.11,-0.54,"F",NA,15,NA,2.35,"Australia","Moore River Estuary (southern west coast)","No","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
54.5,"FL",0.04,-5.21,"F",NA,15.3,NA,2.07,"Australia","Gippsland lakes, Victoria","Yes","No","Acanthopagrus butcheri","Sparidae","annuli on many otoliths"
34.6,"TL",0.47,NA,NA,NA,NA,NA,2.75,"Taiwan","Taiwan Strait and adjacent waters","No","No","Acanthopagrus latus","Sparidae","&nbsp"
52,"",0.167,-0.92,NA,NA,NA,NA,2.65,"","","No","No","Acanthopagrus latus","Sparidae","&nbsp"
40.7,"FL",0.51,NA,"M",NA,NA,NA,2.93,"Japan","Tokyo Bay","No","No","Acanthopagrus schlegelii","Sparidae","annuli on many otoliths"
43.9,"FL",0.346,NA,"F",NA,NA,NA,2.82,"Japan","Tokyo Bay","No","No","Acanthopagrus schlegelii","Sparidae","annuli on many otoliths"
53.7,"TL",0.15,NA,"",NA,NA,NA,2.64,"Taiwan","Taiwan Strait and adjacent waters","No","No","Acanthopagrus schlegelii","Sparidae","&nbsp"
23.5,"SL",0.676,NA,NA,NA,26,NA,2.57,"Australia","Great Barrier Reef","No","No","Acanthurus auranticavus","Acanthuridae","annuli on many otoliths"
14.8,"SL",1.584,NA,NA,NA,NA,NA,2.54,"Panama","San Blas (9°N, southwestern Caribbean)","No","No","Acanthurus bahianus","Acanthuridae","annuli on many otoliths"
15.6,"SL",0.985,NA,NA,NA,NA,NA,2.38,"Bahamas","Lee Stocking Is.","No","No","Acanthurus bahianus","Acanthuridae","annuli on many otoliths"
17.6,"SL",1.061,NA,NA,NA,NA,NA,2.52,"Ascension I.","Ascension Is. (8°S)","No","No","Acanthurus bahianus","Acanthuridae","&nbsp"
18.3,"SL",1.201,NA,NA,NA,NA,NA,2.6,"Brazil","Cabo Frio (23° S)","No","No","Acanthurus bahianus","Acanthuridae","annuli on many otoliths"
18.9,"SL",1.241,NA,NA,NA,NA,NA,2.65,"St Helena","St. Helena Is. (16?S)","No","No","Acanthurus bahianus","Acanthuridae","&nbsp"
24.6,"FL",0.383,NA,NA,NA,28.5,NA,2.37,"Virgin Is. (US)","","No","No","Acanthurus bahianus","Acanthuridae","tagging/recapture"
27.6,"SL",0.25,-0.38,NA,NA,26,NA,2.28,"Australia","Great Barrier Reef","No","No","Acanthurus blochii","Acanthuridae","annuli on many otoliths"
20,"SL",0.705,NA,NA,NA,NA,NA,2.45,"Panama","San Blas (southwestern Caribbean)","No","No","Acanthurus chirurgus","Acanthuridae","annuli on many otoliths"
33.2,"TL",0.254,NA,NA,NA,28.2,NA,2.45,"Virgin Is. (US)","","No","No","Acanthurus chirurgus","Acanthuridae","tagging/recapture"
35,"",0.5,NA,NA,1.58,27,17,2.79,"Jamaica","Reefs","No","No","Acanthurus chirurgus","Acanthuridae","&nbsp"
17.4,"SL",0.817,NA,NA,NA,NA,NA,2.39,"Bahamas","Lee Stocking Is.","No","No","Acanthurus coeruleus","Acanthuridae","annuli on many otoliths"
18.3,"SL",0.477,NA,NA,NA,NA,NA,2.2,"Panama","San Blas (southwestern Caribbean)","No","No","Acanthurus coeruleus","Acanthuridae","annuli on many otoliths"
19.3,"SL",0.403,NA,NA,NA,NA,NA,2.18,"Ascension I.","Ascension Is., south central Atlantic","No","No","Acanthurus coeruleus","Acanthuridae","annuli on many otoliths"
30,"",0.5,NA,NA,1.49,27,13,2.65,"Jamaica","Reefs","No","No","Acanthurus coeruleus","Acanthuridae","&nbsp"
36.9,"FL",0.112,NA,NA,NA,28.2,NA,2.18,"Virgin Is. (US)","St. John","No","No","Acanthurus coeruleus","Acanthuridae","tagging/recapture"
30.8,"SL",0.296,-0.29,NA,NA,26,NA,2.45,"Australia","Great Barrier Reef","No","No","Acanthurus dussumieri","Acanthuridae","annuli on many otoliths"
21,"TL",1.3,NA,NA,NA,27,NA,2.76,"India","Lakshadweep lagoons","No","No","Acanthurus leucosternon","Acanthuridae","length-frequencies"
17.5,"SL",0.34,NA,NA,NA,26,NA,2.02,"Australia","northern Great Barrier Reef (mid-shelf)","No","No","Acanthurus lineatus","Acanthuridae","annuli on many otoliths"
18.3,"SL",0.462,NA,NA,NA,NA,NA,2.19,"Australia","northern Great Barrier Reef","No","No","Acanthurus lineatus","Acanthuridae","annuli on many otoliths"
18.9,"SL",0.68,NA,NA,NA,26,NA,2.39,"Australia","northern Great Barrier Reef (mid-shelf)","No","No","Acanthurus lineatus","Acanthuridae","annuli on many otoliths"
20.3,"FL",0.7,NA,NA,NA,28.6,18,2.46,"American Samoa","Tutuila Island (14°S, 171°W)","No","No","Acanthurus lineatus","Acanthuridae","annuli on many otoliths"
28.7,"TL",2.56,NA,NA,NA,27,NA,3.32,"India","Lakshadweep lagoons","Yes","No","Acanthurus lineatus","Acanthuridae","length-frequencies"
38.3,"SL",0.219,NA,NA,NA,26,NA,2.51,"Australia","Great Barrier Reef","No","No","Acanthurus mata","Acanthuridae","annuli on many otoliths"
14.3,"SL",0.28,-0.69,NA,NA,26,NA,1.76,"Australia","Great Barrie Reef","No","No","Acanthurus nigricans","Acanthuridae","annuli on many otoliths"
24.3,"TL",0.6,NA,NA,NA,27,NA,2.55,"India","Lakshadweep lagoons","No","No","Acanthurus nigricauda","Acanthuridae","length-frequencies"
12,"SL",0.783,NA,NA,NA,NA,NA,2.05,"","","No","No","Acanthurus nigrofuscus","Acanthuridae","annuli on many otoliths"
12.7,"FL",0.51,-1.81,NA,NA,25,10.5,1.92,"Australia","Coil reef, Northern Queensland","No","No","Acanthurus nigrofuscus","Acanthuridae","annuli on many otoliths"
14.4,"FL",0.16,-8.15,NA,NA,25,10.5,1.52,"Australia","Dip reef, Northern Queensland","Yes","No","Acanthurus nigrofuscus","Acanthuridae","annuli on many otoliths"
15.8,"FL",0.45,-2.26,NA,NA,25.8,10.5,2.05,"Australia","Yankee reef, Northern Queensland","No","No","Acanthurus nigrofuscus","Acanthuridae","annuli on many otoliths"
16.6,"FL",1.72,0.31,NA,NA,26,13.5,2.68,"Australia","Centipede reef, Northern Queensland","Yes","No","Acanthurus nigrofuscus","Acanthuridae","annuli on many otoliths"
18,"NG",1,NA,NA,NA,28,NA,2.51,"Micronesia","Woleai Atoll, Yap State","No","No","Acanthurus nigrofuscus","Acanthuridae","length-frequencies"
21,"SL",1.066,NA,NA,NA,NA,NA,2.67,"Australia","northern Great Barrier Reef","No","No","Acanthurus olivaceus","Acanthuridae","annuli on many otoliths"
14.3,"SL",0.422,NA,NA,NA,26,NA,1.94,"Australia","Great Barrier Reef","No","No","Acanthurus pyroferus","Acanthuridae","annuli on many otoliths"
20,"TL",1,NA,NA,NA,27,NA,2.6,"India","Lakshadweep lagoons","No","No","Acanthurus triostegus","Acanthuridae","length-frequencies"
20.3,"FL",1.43,0.05,NA,NA,NA,NA,2.77,"Hawaii","","Yes","No","Acanthurus triostegus","Acanthuridae","annuli on many otoliths"
21.7,"SL",0.35,NA,NA,NA,25.6,NA,2.22,"Hawaii","Oahu","No","No","Acanthurus triostegus","Acanthuridae","tagging/recapture"
42.6,"SL",0.287,-0.21,NA,NA,26,NA,2.72,"Australia","Great Barrier Reef","No","No","Acanthurus xanthopterus","Acanthuridae","annuli on many otoliths"
38,"TL",0.31,NA,NA,NA,NA,NA,2.65,"Brazil","Itaipu Reservoir","No","No","Acestrorhynchus lacustris","Acestrorhynchidae","length-frequencies"
38,"TL",0.4,NA,NA,NA,NA,NA,2.76,"Brazil","Itaipu Reservoir","No","No","Acestrorhynchus lacustris","Acestrorhynchidae","length-frequencies"
38,"TL",0.4,NA,NA,NA,NA,NA,2.76,"Brazil","River Paraná floodplain","No","No","Acestrorhynchus lacustris","Acestrorhynchidae","length-frequencies"
20.9,"TL",1.092,NA,NA,NA,20.5,NA,2.68,"Mexico","Huizache-Caimanero lagoon","No","No","Achirus mazatlanus","Achiridae","length-frequencies"
68.2,"TL",0.14,0.06,"F",NA,18.5,65.3,2.81,"Australia","Western Australia, bet. Albany (35°01'S, 117°58'E) and Esperance (33°45'S, 21°55'E)","No","No","Achoerodus gouldii","Labridae","annuli on many otoliths"
98.2,"TL",0.08,-0.48,"M",NA,19,NA,2.89,"Australia","Western Australia, bet. Albany (35°01'S, 117°58'E) and Esperance (33°45'S, 21°55'E)","No","No","Achoerodus gouldii","Labridae","annuli on many otoliths"
12,"TL",0.258,NA,NA,NA,NA,NA,1.57,"Spain","River Duero","No","No","Achondrostoma arcasii","Cyprinidae","&nbsp"
13.3,"TL",0.269,-0.01,NA,NA,NA,NA,1.68,"Spain","River Duero","No","No","Achondrostoma arcasii","Cyprinidae","&nbsp"
143,"TL",0.03,-3.3,NA,NA,NA,NA,2.79,"","Europe (not specified)","No","No","Acipenser baerii","Acipenseridae","others"
149,"TL",0.06,-2.59,NA,NA,NA,NA,3.12,"Russia","Enisey river","No","No","Acipenser baerii","Acipenseridae","other annual rings"
161.9,"TL",0.07,0.02,NA,NA,NA,NA,3.26,"Russia","Irtysh river","No","No","Acipenser baerii","Acipenseridae","other annual rings"
144,"TL",0.04,2,NA,NA,NA,NA,2.92,NA,"St. John's River, New Brunswick","Yes","No","Acipenser brevirostrum","Acipenseridae","&nbsp"
148,"TL",0.05,-4.87,NA,NA,NA,NA,3.04,"","Lac de Deux Montagnes","No","No","Acipenser fulvescens","Acipenseridae","other annual rings"
156,"TL",0.033,-5.59,NA,0.06,NA,NA,2.9,"","Nottaway River","No","No","Acipenser fulvescens","Acipenseridae","&nbsp"
156,"TL",0.04,-0.02,NA,NA,NA,NA,2.99,"USA","Menominee River, WI-MI","No","No","Acipenser fulvescens","Acipenseridae","&nbsp"
162,"TL",0.045,-5.04,NA,NA,NA,NA,3.07,"","Lac Saint-Pierre","No","No","Acipenser fulvescens","Acipenseridae","other annual rings"
178,"TL",0.05,NA,NA,0.06,8,112.5,3.2,"USA","Lake Winnebago, Wisconsin","No","No","Acipenser fulvescens","Acipenseridae","&nbsp"
191,"TL",0.029,-9.57,NA,NA,NA,NA,3.03,"USA","Grasse River, New York","No","No","Acipenser fulvescens","Acipenseridae","other annual rings"
192,"TL",0.03,-8.46,NA,NA,NA,NA,3.04,"","Lac Saint-Louis","Yes","No","Acipenser fulvescens","Acipenseridae","other annual rings"
224,"TL",0.022,-12.34,NA,NA,NA,NA,3.04,"","Saint Lawrence River","No","No","Acipenser fulvescens","Acipenseridae","other annual rings"
236,"TL",0.05,-2.51,NA,NA,NA,NA,3.44,"Russia","Sea of Azov","No","No","Acipenser gueldenstaedtii","Acipenseridae","other annual rings"
253,"TL",0.045,-3.5,NA,0.1,13.6,105,3.46,"Russia","Azov Sea","No","No","Acipenser gueldenstaedtii","Acipenseridae","&nbsp"
254.3,"TL",0.03,NA,NA,NA,NA,NA,3.29,"","NW Black Sea","No","No","Acipenser gueldenstaedtii","Acipenseridae","other annual rings"
190,"TL",0.087,NA,NA,NA,14,NA,3.5,"","Mediterranean","No","No","Acipenser medirostris","Acipenseridae","&nbsp"
238,"TL",0.05,2,NA,NA,NA,NA,3.45,"USA","Klamath River, California","Yes","No","Acipenser medirostris","Acipenseridae","&nbsp"
205,"TL",0.053,-4.35,NA,NA,NA,NA,3.35,"Kazakhstan","Aral Lake","No","No","Acipenser nudiventris","Acipenseridae","&nbsp"
205,"TL",0.119,NA,NA,0.15,NA,NA,3.7,"Russia","Southern Caspian & Ural River","No","No","Acipenser nudiventris","Acipenseridae","&nbsp"
222.7,"TL",0.07,-2.28,NA,NA,NA,NA,3.54,"Russia","Ural river","No","No","Acipenser nudiventris","Acipenseridae","other annual rings"
250,"",0.04,NA,NA,NA,12.5,130,3.4,"","Europe","No","No","Acipenser nudiventris","Acipenseridae","&nbsp"
180,"FL",0.147,NA,"M",NA,NA,NA,3.68,"USA","off central New Jersey coast","Yes","No","Acipenser oxyrinchus","Acipenseridae","other annual rings"
184,"TL",0.14,NA,"",NA,NA,NA,3.68,"USA","Suwannee River, Florida","Yes","No","Acipenser oxyrinchus","Acipenseridae","&nbsp"
199,"FL",0.122,NA,"F",NA,NA,NA,3.68,"USA","off central New Jersey coast","Yes","No","Acipenser oxyrinchus","Acipenseridae","other annual rings"
236,"TL",0.06,NA,"",NA,NA,NA,3.52,"USA","Kennebec, Maine","No","No","Acipenser oxyrinchus","Acipenseridae","&nbsp"
242,"TL",0.12,NA,"",NA,NA,NA,3.85,"USA","Winyah Bay, South Carolina","Yes","No","Acipenser oxyrinchus","Acipenseridae","&nbsp"
256,"TL",0.07,-3.2,"F",NA,NA,NA,3.66,"USA","Hudson River, New York","No","No","Acipenser oxyrinchus","Acipenseridae","other annual rings"
